1990,1995,2000,2005,2010,2015,2020
-2.0,-1.3,-1.6,-6.3,-3.0,-1.8,-0.9
-2.5,-2.6,-0.8,11.6,10.5,28.4,22.8
0.3,0.2,-2.2,-0.7,-4.0,-9.5,-0.3
0.0,0.3,-1.9,-0.7,1.2,0.6,0.2
-0.6,3.7,-10.2,-5.9,-2.6,0.7,0.5
-24.2,-16.8,-19.9,-17.7,-16.5,-12.8,-14.3
1.6,5.8,-4.7,-3.8,-6.0,-2.9,-1.2
-2.0,-3.5,0.4,-2.7,-2.7,-0.7,-0.5
-0.9,-1.4,-1.7,-1.7,-3.9,-2.7,-2.4
-1.0,-1.1,-0.6,-1.6,-1.0,-0.9,-0.8
0.7,0.9,3.3,2.8,2.8,2.38,2.1
-1.7,-4.5,-5.2,-4.3,-7.4,-3.0,-3.8
-6.9,-1.0,-1.5,-3.2,-2.0,-1.9,0.0
-5.0,-0.9,-3.8,-16.0,-9.3,-4.7,-4.8
-0.1,-0.1,-0.1,-0.3,-0.3,-0.2,-0.2
8.0,4.0,4.2,6.0,11.4,8.6,6.4
-4.2,-3.3,-23.8,-23.0,-23.5,-5.7,-5.4
-12.4,-8.9,-7.2,-6.8,-6.3,-4.0,-3.9
-15.5,-41.4,10.6,12.6,19.9,-2.0,-15.9
-4.4,-3.2,-2.5,-2.0,-1.7,-1.5,-1.3
0.0,-4.0,-4.86,-8.1,-6.5,-5.4,-0.3
-3.9,-8.9,-13.9,-11.2,-4.0,-9.2,-8.0
-1.1,-5.8,3.5,-1.3,-0.4,-0.3,-0.3
35.4,-14.7,3.0,-2.4,-3.0,1.4,0.9
-1.1,-2.1,-2.6,-2.0799999999999996,-3.4,-1.7,-0.6
1.3,3.2,-0.8,-2.9,-0.8,-2.8,-0.3
-34.1,-28.2,37.8,-3.3,9.9,1.2,-1.0
-27.1,-15.4,-23.0,-16.9,-13.4,-9.2,-7.7
-3.9,-6.1,-7.7,-0.6,-2.3,-3.4,-0.3
,-2.3,-2.5,-0.1,0.9,-3.3,-2.0
5.1,3.0,4.7,5.5,5.7,1.7,1.6
3.3,-1.7,0.1,1.5,3.9,1.6,1.0
-9.9,-10.1,-0.5,-1.4,-0.7,-0.9,-0.5
-2.3,2.2,-3.0,-5.4,-2.5,-1.9,-0.9
2.0,-5.5,-5.3,-5.8,-9.3,-7.5,-11.6
-3.0,3.0,3.4,0.96,1.7,-2.7,-0.6
-0.4,-0.8,-0.7,-0.7,-0.6,-0.3,-0.2
0.6,4.3,-2.5,-1.7,-2.4,-1.0,-0.7
-3.2,-2.9,-2.1,-1.2,-0.6,-0.7,-0.7
-2.1,-1.7,-1.4,-1.1,-0.9,-0.8,4.2
-6.1,-9.1,10.5,4.4,5.8,4.4,3.2
-9.3,6.8,6.8,0.6,4.5,2.1,0.0
1.1,1.0,1.7,3.8,8.5,11.2,1.6
-3.6,-3.6,-3.8,-4.4,-3.6,-2.2,-1.4
3.5,8.8,5.5,2.0,-6.7,-3.0,-1.5
-2.7,-3.1,-2.0,-6.7,-8.5,-4.2,3.1
-2.3,-1.4,-2.4,-3.5,-3.1,-2.7,-2.4
0.3,-0.0,-0.1,-1.1,-1.1,-0.54,-0.4
-0.5,-1.5,-1.2,-2.2,-4.5,-3.0,-2.3
6.5,4.9,5.2,6.7,8.0,7.1,6.6
,0.7,1.8,3.3,7.1,4.0,3.9
-6.9,-7.5,-7.3,-4.5,-1.6,-0.6,-0.5
-1.7,1.9,1.5,1.2,0.5,0.6,0.6
0.5,-1.0,-4.3,-0.9,-0.1,0.0,0.3
6.9,10.1,13.7,6.5,17.5,18.1,16.3
2.9,5.8,1.6,4.4,3.7,6.3,7.4
0.0,0.0,-0.1,-0.1,-0.2,-0.2,-0.2
,-0.2,-0.1,-0.1,-0.1,-0.1,-0.1
-6.1,-35.7,-8.4,-0.3,-3.2,-14.5,-6.4
1.1,-6.1,-8.3,-0.1,-0.5,-1.8,-1.9
-0.9,9.1,-1.2,-1.2,-0.6,-0.6,-1.1
1.7,-5.5,-9.0,-11.7,-8.3,-9.4,-8.2
-1.1,0.1,0.3,0.5,1.3,1.9,6.0
5.8,5.7,2.3,-3.4,-2.1,-0.7,-0.3
21.0,-17.9,-1.1,-1.0,-0.9,-1.0,-0.9
-1.0,-3.3,-2.4,-5.1,-5.4,-2.0,-3.0
-14.8,1.4,-0.6,6.2,-6.1,-2.1,-2.1
-1.4,-2.2,-2.4,-2.6,-4.3,-1.4,-1.3
0.0,-0.0,-0.0,-5.340000000000001,-1.5,-2.9,-22.3
-6.5,-7.1,-0.5799999999999998,-1.0,5.2,0.0,0.0
-0.6,6.7,2.3,6.7,2.9,4.0,3.2
,-0.2,-2.1,7.6,8.6,2.7,2.6
8.4,18.2,17.0,16.48,30.7,11.8,4.7
-4.0,-3.9,-3.7,-3.5,-3.3,-3.1,-2.8
4.0,7.3,1.8,6.840000000000001,9.1,9.9,6.1
-25.1,40.3,-8.9,6.4,-7.6,3.3,-1.7
,-5.3,-5.4,-2.7,-2.8,-0.6,-0.6
-7.2,-0.9,4.6,10.2,2.78,-4.9,4.9
-12.1,-3.8,-2.8,-1.1,-1.4,-3.7,-2.1
1.2,4.2,4.8,2.0,1.4,0.8,0.8
1.8,2.2,2.7,3.0,6.9,8.8,5.3
-1.3,-4.42,-7.9,-4.5,-4.1,-3.4,-2.2
3.5,2.2,2.6,2.9,3.3,1.3,0.2
